Job ID: 9550842
Node:   g8
GPU:    0
Run:    adapter_base_rlrop
Extra:  none
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/channel_adapter/output/adapter_base_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_base.pth
[model] Channel adapter: 96 → 3 → 64 (1-layer 1×1 + pretrained 3×3)
[model] backbone: MedViT_base  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: CrossEntropyLoss
  Optimizer: backbone LR=1e-05, adapter LR=0.0001, proj_head LR=0.0003
  Epoch 102/150 | loss: 0.1705 | val AUC: 0.6345 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch 103/150 | loss: 0.2042 | val AUC: 0.6086 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch 104/150 | loss: 0.1845 | val AUC: 0.5862 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch 105/150 | loss: 0.1626 | val AUC: 0.6345 | LR bb=1.0e-07 adapter=3.9e-07 hd=1.2e-06
  Epoch 106/150 | loss: 0.1649 | val AUC: 0.6103 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  LR reduced: 1.2e-06 → 5.9e-07  (patience reset)
  Epoch 107/150 | loss: 0.1105 | val AUC: 0.6293 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 108/150 | loss: 0.0965 | val AUC: 0.5879 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 109/150 | loss: 0.2356 | val AUC: 0.6103 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 110/150 | loss: 0.1042 | val AUC: 0.5983 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 111/150 | loss: 0.1112 | val AUC: 0.5879 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 112/150 | loss: 0.1223 | val AUC: 0.5724 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 113/150 | loss: 0.1313 | val AUC: 0.6069 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 114/150 | loss: 0.1836 | val AUC: 0.6552 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 115/150 | loss: 0.0457 | val AUC: 0.6241 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 116/150 | loss: 0.1163 | val AUC: 0.5879 | LR bb=1.0e-07 adapter=2.0e-07 hd=5.9e-07
  Epoch 117/150 | loss: 0.0566 | val AUC: 0.6328 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  LR reduced: 5.9e-07 → 2.9e-07  (patience reset)
  Epoch 118/150 | loss: 0.1743 | val AUC: 0.5966 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 119/150 | loss: 0.1411 | val AUC: 0.5914 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 120/150 | loss: 0.1453 | val AUC: 0.6310 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 121/150 | loss: 0.1772 | val AUC: 0.5983 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 122/150 | loss: 0.1012 | val AUC: 0.6241 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 123/150 | loss: 0.1037 | val AUC: 0.6241 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 124/150 | loss: 0.1213 | val AUC: 0.6017 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 125/150 | loss: 0.1453 | val AUC: 0.6224 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 126/150 | loss: 0.1359 | val AUC: 0.6362 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 127/150 | loss: 0.1138 | val AUC: 0.6414 | LR bb=1.0e-07 adapter=1.0e-07 hd=2.9e-07
  Epoch 128/150 | loss: 0.1715 | val AUC: 0.6207 | LR bb=1.0e-07 adapter=1.0e-07 hd=1.5e-07
  LR reduced: 2.9e-07 → 1.5e-07  (patience reset)
