Job ID: 9550841
Node:   g7
GPU:    0
Run:    focal_deep_rlrop
Extra:  --focal-gamma 2.0 --head-depth 2
Start:  Sun Jun 28 21:11:06 EDT 2026
Device: cuda
initialize_weights...
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
Config saved: /geode3/home/u070/ohjiye/Quartz/MedImage/ProstateCls/weight_tiling/output/focal_deep_rlrop/config.json
Total: 451  csPCa: 65  ciPCa: 386
Split → train: 315 (csPCa=45) | val: 68 (csPCa=10) | test: 68 (csPCa=10)

==================================================
Train: 315 (csPCa=45, ciPCa=270)
Val:   68   (csPCa=10, ciPCa=58)
initialize_weights...
[model] Pretrained backbone loaded from /N/slate/ohjiye/medvit_ckpt/MedViT_small.pth
[model] First conv inflated: 3 → 96 channels (weight tiling ÷32)
[model] backbone: MedViT_small  proj_head: 1024 → 512 → 256 → 2  (dropout=0.2)
  Class weights: ciPCa=0.583  csPCa=3.500  (1:6.0)
  Loss: FocalLoss(gamma=2.0)
  Optimizer: backbone LR=1e-05, head(stem+proj) LR=0.0003
  Epoch  62/150 | loss: 0.0555 | val AUC: 0.7241 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  63/150 | loss: 0.0433 | val AUC: 0.7155 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  64/150 | loss: 0.1448 | val AUC: 0.7034 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  65/150 | loss: 0.0735 | val AUC: 0.7121 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  66/150 | loss: 0.0290 | val AUC: 0.7155 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  67/150 | loss: 0.0393 | val AUC: 0.7103 | LR bb=3.1e-07 hd=9.4e-06
  Epoch  68/150 | loss: 0.0418 | val AUC: 0.7069 | LR bb=1.6e-07 hd=4.7e-06
  LR reduced: 9.4e-06 → 4.7e-06  (patience reset)
  Epoch  69/150 | loss: 0.0662 | val AUC: 0.7207 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  70/150 | loss: 0.0338 | val AUC: 0.7190 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  71/150 | loss: 0.0614 | val AUC: 0.7172 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  72/150 | loss: 0.0508 | val AUC: 0.7069 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  73/150 | loss: 0.0679 | val AUC: 0.7000 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  74/150 | loss: 0.0302 | val AUC: 0.7069 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  75/150 | loss: 0.0230 | val AUC: 0.7052 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  76/150 | loss: 0.0415 | val AUC: 0.7103 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  77/150 | loss: 0.0298 | val AUC: 0.7138 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  78/150 | loss: 0.0474 | val AUC: 0.7086 | LR bb=1.6e-07 hd=4.7e-06
  Epoch  79/150 | loss: 0.1102 | val AUC: 0.7172 | LR bb=1.0e-07 hd=2.3e-06
  LR reduced: 4.7e-06 → 2.3e-06  (patience reset)
  Epoch  80/150 | loss: 0.0248 | val AUC: 0.7190 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  81/150 | loss: 0.0345 | val AUC: 0.7069 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  82/150 | loss: 0.0267 | val AUC: 0.7121 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  83/150 | loss: 0.0229 | val AUC: 0.7172 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  84/150 | loss: 0.0108 | val AUC: 0.7069 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  85/150 | loss: 0.1363 | val AUC: 0.7155 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  86/150 | loss: 0.0379 | val AUC: 0.7103 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  87/150 | loss: 0.0539 | val AUC: 0.7103 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  88/150 | loss: 0.0675 | val AUC: 0.7086 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  89/150 | loss: 0.0706 | val AUC: 0.7138 | LR bb=1.0e-07 hd=2.3e-06
  Epoch  90/150 | loss: 0.0846 | val AUC: 0.7086 | LR bb=1.0e-07 hd=1.2e-06
  LR reduced: 2.3e-06 → 1.2e-06  (patience reset)
  Epoch  91/150 | loss: 0.0295 | val AUC: 0.7224 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  92/150 | loss: 0.0347 | val AUC: 0.7276 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  93/150 | loss: 0.0048 | val AUC: 0.7155 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  94/150 | loss: 0.0724 | val AUC: 0.7155 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  95/150 | loss: 0.0174 | val AUC: 0.7190 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  96/150 | loss: 0.0375 | val AUC: 0.7190 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  97/150 | loss: 0.0570 | val AUC: 0.7293 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  98/150 | loss: 0.1383 | val AUC: 0.7138 | LR bb=1.0e-07 hd=1.2e-06
  Epoch  99/150 | loss: 0.0369 | val AUC: 0.7017 | LR bb=1.0e-07 hd=1.2e-06
  Epoch 100/150 | loss: 0.0102 | val AUC: 0.7241 | LR bb=1.0e-07 hd=1.2e-06
  Epoch 101/150 | loss: 0.1154 | val AUC: 0.7138 | LR bb=1.0e-07 hd=5.9e-07
  LR reduced: 1.2e-06 → 5.9e-07  (patience reset)
  Epoch 102/150 | loss: 0.0157 | val AUC: 0.7121 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 103/150 | loss: 0.0970 | val AUC: 0.7207 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 104/150 | loss: 0.0945 | val AUC: 0.7086 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 105/150 | loss: 0.0941 | val AUC: 0.7155 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 106/150 | loss: 0.0354 | val AUC: 0.6931 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 107/150 | loss: 0.0325 | val AUC: 0.7138 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 108/150 | loss: 0.0567 | val AUC: 0.7086 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 109/150 | loss: 0.0999 | val AUC: 0.7138 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 110/150 | loss: 0.0201 | val AUC: 0.7155 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 111/150 | loss: 0.0775 | val AUC: 0.7190 | LR bb=1.0e-07 hd=5.9e-07
  Epoch 112/150 | loss: 0.0059 | val AUC: 0.7034 | LR bb=1.0e-07 hd=2.9e-07
  LR reduced: 5.9e-07 → 2.9e-07  (patience reset)
  Epoch 113/150 | loss: 0.0270 | val AUC: 0.7069 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 114/150 | loss: 0.0322 | val AUC: 0.7121 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 115/150 | loss: 0.0153 | val AUC: 0.7103 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 116/150 | loss: 0.0695 | val AUC: 0.7017 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 117/150 | loss: 0.0081 | val AUC: 0.7103 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 118/150 | loss: 0.0376 | val AUC: 0.7138 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 119/150 | loss: 0.0394 | val AUC: 0.7103 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 120/150 | loss: 0.0286 | val AUC: 0.7086 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 121/150 | loss: 0.0725 | val AUC: 0.7138 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 122/150 | loss: 0.0115 | val AUC: 0.7121 | LR bb=1.0e-07 hd=2.9e-07
  Epoch 123/150 | loss: 0.0447 | val AUC: 0.7052 | LR bb=1.0e-07 hd=1.5e-07
  LR reduced: 2.9e-07 → 1.5e-07  (patience reset)
  Epoch 124/150 | loss: 0.0043 | val AUC: 0.7086 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 125/150 | loss: 0.0602 | val AUC: 0.7121 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 126/150 | loss: 0.0294 | val AUC: 0.7103 | LR bb=1.0e-07 hd=1.5e-07
  Epoch 127/150 | loss: 0.0278 | val AUC: 0.7172 | LR bb=1.0e-07 hd=1.5e-07
